id Amikacin Capreomycin Ciprofloxacin Ethambutol Ethionamide Isoniazid Kanamycin Moxifloxacin Ofloxacin PAA Prothionamide Pyrazinamide Rifampicin Streptomycin
ERR036186 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036187 1 1 1 1 2 1 1 1 1 2 1 1 1 1
ERR036188 1 1 1 2 1 2 2 1 1 1 2 2 1 2
ERR036189 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036190 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036191 1 1 1 1 1 2 1 1 1 1 1 1 1 1
ERR036192 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR036193 2 2 1 1 2 1 2 1 1 1 1 1 1 1
ERR036195 1 1 1 1 1 1 1 1 1 2 1 1 1 2
ERR036196 2 2 2 1 1 1 2 1 1 1 1 1 1 1
ERR036197 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036200 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036201 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036202 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036203 1 1 1 1 2 2 1 1 1 1 2 1 1 1
ERR036204 1 1 1 1 2 1 1 1 1 2 1 1 1 1
ERR036205 1 1 1 1 2 1 2 1 1 1 1 1 1 1
ERR036206 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036208 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR036209 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036210 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR036212 2 2 1 1 1 1 2 1 1 1 1 1 1 1
ERR036213 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036214 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036216 1 1 1 1 1 1 1 1 1 1 1 1 1 2
ERR036217 1 1 1 1 1 1 1 1 1 1 2 1 1 1
ERR036218 1 1 1 1 1 1 1 1 1 1 2 1 1 1
ERR036219 2 2 1 1 1 1 2 1 1 1 2 1 1 1
ERR036220 2 2 1 1 1 1 2 1 1 1 1 1 1 1
ERR036221 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036222 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036223 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036226 1 1 1 1 1 2 1 2 2 2 1 1 1 1
ERR036227 1 1 1 1 2 1 1 1 1 2 2 1 1 1
ERR036228 1 1 2 1 1 1 1 2 2 1 2 1 1 1
ERR036229 1 1 1 1 1 1 1 1 1 1 2 1 1 1
ERR036230 1 1 1 1 2 1 1 1 1 1 1 1 1 1
ERR036231 1 1 1 1 1 1 1 1 1 2 1 1 1 1
ERR036232 1 1 1 1 1 1 1 1 1 1 1 1 1 1
ERR036234 2 2 1 1 1 2 2 2 1 1 1 1 1 1
